matchday,ta_key,tb_key,ta_odds,draw_odds,tb_odds,ta_goals,tb_goals,twoone_goals_home,twoone_goals_away,odds_goals_home,odds_goals_away,lgb_class_goals_home,lgb_class_goals_away,lgb_goals_goals_home,lgb_goals_goals_away,max_goals_home,max_goals_away
26,fc-augsburg,1-fsv-mainz-05,3.34,3.3,2.27,2,1,1.0,2.0,1.0,2.0,1,2,1,2,2,1
28,fc-augsburg,vfl-wolfsburg,2.97,3.29,2.49,3,0,1.0,2.0,1.0,2.0,1,2,1,2,3,0
30,fc-augsburg,hertha-bsc,1.93,3.61,4.03,0,1,2.0,1.0,2.0,1.0,3,1,3,1,0,1
32,fc-augsburg,1-fc-koeln,2.82,3.44,2.51,1,4,1.0,2.0,1.0,2.0,2,1,2,1,1,4
34,fc-augsburg,spvgg-greuther-fuerth,1.58,4.72,5.09,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
2,fc-bayern-muenchen,1-fc-koeln,1.13,9.35,19.76,3,2,2.0,1.0,4.0,1.0,4,1,4,1,3,2
3,fc-bayern-muenchen,hertha-bsc,1.18,7.96,14.67,5,0,2.0,1.0,4.0,1.0,4,1,4,1,5,0
5,fc-bayern-muenchen,vfl-bochum,1.07,13.19,31.99,7,0,2.0,1.0,4.0,1.0,4,1,4,1,7,0
7,fc-bayern-muenchen,eintracht-frankfurt,1.17,8.35,14.57,1,2,2.0,1.0,4.0,1.0,3,1,3,1,1,2
9,fc-bayern-muenchen,1899-hoffenheim,1.17,8.31,14.03,4,0,2.0,1.0,4.0,1.0,4,1,3,1,4,0
11,fc-bayern-muenchen,sc-freiburg,1.18,7.94,14.45,2,1,2.0,1.0,4.0,1.0,4,1,3,1,2,1
13,fc-bayern-muenchen,arminia-bielefeld,1.09,11.5,28.43,1,0,2.0,1.0,4.0,1.0,4,1,4,1,1,0
15,fc-bayern-muenchen,1-fsv-mainz-05,1.23,7.04,11.59,2,1,2.0,1.0,4.0,1.0,4,1,3,1,2,1
17,fc-bayern-muenchen,vfl-wolfsburg,1.2,7.54,13.18,4,0,2.0,1.0,4.0,1.0,4,1,4,1,4,0
18,fc-bayern-muenchen,borussia-moenchengladbach,1.36,5.85,7.39,1,2,2.0,1.0,3.0,1.0,4,1,4,1,1,2
21,fc-bayern-muenchen,rb-leipzig,1.41,5.37,6.78,3,2,2.0,1.0,3.0,1.0,4,1,4,1,3,2
23,fc-bayern-muenchen,spvgg-greuther-fuerth,1.07,13.12,30.35,4,1,2.0,1.0,4.0,1.0,4,1,4,1,4,1
25,fc-bayern-muenchen,bayer-leverkusen,1.4,5.62,6.64,1,1,2.0,1.0,3.0,1.0,3,1,4,1,1,1
27,fc-bayern-muenchen,1-fc-union-berlin,1.18,7.84,15.23,4,0,2.0,1.0,4.0,1.0,4,1,4,1,4,0
29,fc-bayern-muenchen,fc-augsburg,1.12,9.91,19.97,1,0,2.0,1.0,4.0,1.0,4,1,4,1,1,0
31,fc-bayern-muenchen,borussia-dortmund,1.38,5.65,7.12,3,1,2.0,1.0,3.0,1.0,4,1,4,1,3,1
33,fc-bayern-muenchen,vfb-stuttgart,1.25,6.82,10.75,2,2,2.0,1.0,4.0,1.0,4,1,4,1,2,2
2,hertha-bsc,vfl-wolfsburg,3.06,3.44,2.33,1,2,1.0,2.0,1.0,2.0,1,2,1,2,1,2
5,hertha-bsc,spvgg-greuther-fuerth,1.81,3.75,4.51,2,1,2.0,1.0,2.0,1.0,3,1,3,1,2,1
7,hertha-bsc,sc-freiburg,2.88,3.35,2.51,1,2,1.0,2.0,1.0,2.0,1,1,2,1,1,2
9,hertha-bsc,borussia-moenchengladbach,3.72,3.63,1.99,1,0,1.0,2.0,1.0,2.0,1,2,1,3,1,0
11,hertha-bsc,bayer-leverkusen,3.53,3.59,2.06,1,1,1.0,2.0,1.0,2.0,1,2,1,2,1,1
13,hertha-bsc,fc-augsburg,2.16,3.23,3.7,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
15,hertha-bsc,arminia-bielefeld,2.05,3.3,3.95,2,0,2.0,1.0,2.0,1.0,2,1,2,1,2,0
17,hertha-bsc,borussia-dortmund,5.21,4.39,1.6,3,2,1.0,2.0,1.0,2.0,1,3,1,3,3,2
18,hertha-bsc,1-fc-koeln,2.75,3.48,2.52,1,3,1.0,2.0,1.0,1.0,2,1,1,2,1,3
20,hertha-bsc,fc-bayern-muenchen,11.06,6.92,1.23,1,4,1.0,2.0,1.0,4.0,1,4,1,3,1,4
21,hertha-bsc,vfl-bochum,2.19,3.45,3.38,1,1,2.0,1.0,2.0,1.0,2,1,2,1,1,1
23,hertha-bsc,rb-leipzig,6.15,4.29,1.55,1,6,1.0,2.0,1.0,3.0,1,3,1,3,1,6
25,hertha-bsc,eintracht-frankfurt,3.3,3.54,2.19,1,4,1.0,2.0,1.0,2.0,1,2,1,2,1,4
27,hertha-bsc,1899-hoffenheim,4.36,4.22,1.74,3,0,1.0,2.0,1.0,2.0,1,2,1,2,3,0
29,hertha-bsc,1-fc-union-berlin,2.88,3.23,2.59,1,4,1.0,2.0,1.0,1.0,2,1,2,1,1,4
